cultivar,registered,perianth,corona,orig_name,date,synonym,awards,seed_parent,pollen_parent,description
"Abinadab","2 (c)","W","W","R.F. Calvert","pre1934","none","none","","",""
"Abingdon","3 (a)","Y","R","P.D. Williams","pre1928","none","none","","","Perianth segments cream; corona solid red"
"Aber","2 (a)","Y","","W.A. Watts","pre1927","none","none","","",""
"Aberdeen","1","Y","Y","","","none","none","","",""
"Abessa","9","W","","G.H. Furness","pre1934","none","none","","",""
"Abiad","1 (b)","W","","de Graaff Bros","pre1923","none","none","","",""
"Abbotsley","2 (a)","Y","Y","R.H. Bath","pre1933","none","none","","",""
"Abandon","2 (c)","W","W","W.A. Bell","pre1947","none","none","","",""
"Abberley","2 (a)","Y","Y","A.M. Wilson","pre1944","none","none","","","Fl. deep golden yellow; corona frilled"
"Abbess","1 (c)","W","W","W.A. Grace","pre1938","none","none","","",""
"Abadan","2 (b)","W","YRR","W. Blom & Son","pre1954","none","none","‘John Evelyn’","‘Sender Wallace’",""
"Abadea","2 (c)","W","W","W.F.M. Copeland","pre1920","none","none","","","Perianth segments fairly smooth; corona creamy white"
"Aashild","3","W","W","","pre1938","none","none","","",""
"Abacot","1 (c)","W","W","G.H. Engleheart","pre1923","none","none","","",""
"Abacus","1 (a)","Y","Y","A.F. Calvert","pre1929","none","none","","",""
"Aabenraa","2 (a)","Y","O","P.D. Williams","pre1931","none","AM(e)  1932 ","","","Perianth segments very broadly ovate, blunt or squarish at apex, slightly mucronate, spreading, overlapping one-third to a half; the inner segments more narrowly ovate, angled at shoulder, with margins wavy or incurled; corona broad funnel-shaped, loosely ribbed, orange, paling to base, with mouth straight, lightly frilled"
"Aachen","1 (a)","Y","Y","A.F. Calvert","pre1928","none","none","","",""
"Aala","2 (a)","Y","Y","W. Jackson Sr","1949","none","none","’Acca’","’Guilmette’",""
"Aard-Wolf","1 (c)","W","W","W.B. Cranfield","pre1931","none","none","","",""
"A.R.Males","2 (a)","Y","O","C.O. Fairbairn","pre1959","none","none","","","Perianth segments deep yellow; corona tangerine orange, with mouth expanded and rim reflexed"
"A.Rawson","12","Y","Y","A. Rawson","pre1884","Tridymus `A.Rawson'","none","","","Fls usually 3 per stem; perianth segments overlapping; corona rich yellow"
"A.W.Tait","1 (a)","Y","Y","Spanish origin","",""Extra Early Maximus"","*HC(g)  1927 ","","","Resembles an earlier-flowered {N. hispanicus} of darker colour"
"Aabaknot","1 (c)","W","W","W.B. Cranfield","pre1931","none","none","","",""
"A1","5","","","?E.M. Crosfield","pre1913","none","none","","",""
"A.E.Lowe","2 (c)","W","W","A.E. Lowe","pre1925","none","none","","","Fl. pure white; corona very large, expanded"
"A.G.Bull","1 (a)","Y","Y","A.E. Lowe","pre1925","none","none","","",""
"A.L.Scott","1 (a)","Y","Y","J.N. Hancock & Co.","pre1949","none","none","","",""
"Adinda","3 (b)","W","","de Graaff-Gerharda","pre1926","none","AM Haarlem  1926 ","","",""
"Adino","3 (b)","W","","W.A. Grace","pre1938","none","none","","",""
"Adjutant","2 (b)","W","","","pre1907","none","none","","",""
"Adler","2 (b)","W","YYO","de Graaff Bros","pre1929","none","AM Haarlem  1928 ","","","Perianth segments pure white; corona yellow, with orange at rim"
"Admirable","3 (b)","W","","A.F. Calvert","pre1929","none","none","","",""
"Admiral","0 (b)","W","R","","pre1933","none","none","","","Perianth segments pure white; corona bright red. Late"
"Adonia","8","Y","Y","","pre1846","none","none","","","Perianth segments dark primrose yellow; corona rich golden yellow"
"Adonis","2 (b)","W","Y","E. Leeds","pre1877","Incomparabilis Albidus `Adonis'","none","","","Perianth segments sulphur white; corona yellow"
"Adonia","3 (b)","W","O","E.M. Crosfield","pre1909","none","none","","","Perianth segments creamy white; corona ribbed, scarlet-orange"
"Adorable","1 (c)","W","W","R.H. Bath","pre1931","none","none","","",""
"Adoration","0","","","New Zealand origin","pre1940","none","none","","",""
"Adoration","5","W","W","W.F.M. Copeland","pre1927","none","none","","",""
"Adorna","3 (a)","Y","GYY","Barr & Sons","pre1923","none","none","","","Perianth segments pale primrose yellow, overlapping; corona rich orange-yellow, with rim frilled"
"Adorned","2 (b)","W","P","C.O. Fairbairn","pre1959","none","none","","",""
"Adornica","2","","","B. Rowlands","pre1938","none","none","","",""
"Adour","1 (a)","Y","Y","Miss E. Willmott","pre1903","none","AM 1903 ","","","Fl. brilliant golden yellow. Late"
"Adrastus","2 (b)","W","GYY","C. Dawson","pre1912","none","none","","","Corona rich golden yellow paling clear yellow at rim, with green at base. Late"
"Adria","2 (b)","W","","T. Batson","pre1914","none","none","","",""
"Adrian","2 (b)","W","","J.T. Gray","pre1951","none","none","","",""
"Adriana","1 (a)","Y","Y","Barr & Sons","pre1923","none","none","","","Fl. large, soft clear yellow"
"Adriel","3 (b)","W","","J.T. Gray","pre1939","none","none","","",""
"Adrienne","8","W","Y or O","","pre1807","none","none","","",""
"Adsum","2 (b)","W","Y","A.E. Lowe","pre1927","none","none","","","Corona soft yellow"
"Adur","3 (b)","W","","Sir F.C. Stern","pre1950","none","none","","",""
"Advance","8","W","O","","","none","none","","",""
"Advance","9","W","OOR","G.H. Engleheart","pre1913","none","none","","","Fl. 70 mm wide; perianth segments overlapping; corona reddish orange, with dull red at rim"
"Advent","1 (a)","Y","Y","E.M. Crosfield","pre1914","none","none","","",""
"Adventure","2 (a)","Y","Y","F.H. Chapman","pre1927","none","AM(e)  1929 AM Haarlem  1930 ","‘Desperado’","‘Commander in Chief’","Perianth segments broadly ovate, blunt or truncate, slightly mucronate, deep yellow, spreading, overlapping half; the inner segments a little narrower, slightly inflexed, with margins a little wavy; corona funnel-shaped, smooth, darker in tone than the perianth, with mouth expanded, rim slightly rolled and regularly crenate"
"Advocate","2 (a)","Y","","W. Welchman","pre1908","none","none","","",""
"Advocate","2","W","O","G.W.E. Brogden","1961","none","none","","","Fl. 108 mm wide; corona light orange. Mid-season"
"Adwell","1 (b)","W","","","pre1913","none","none","","",""
"Aeantara","0","","","","pre1940","none","none","","",""
"Aegir","5","","","H. Prins","pre1929","none","none","","",""
"Aeolus","1 (b)","W","","Barr & Sons","pre1913","none","none","","",""
"Aeolus","1 (b)","W","Y","M. van Waveren & Sons","pre1930","none","none","","","Fl. large; perianth segments very broadly ovate, blunt, only very slightly mucronate, spreading, plane, overlapping half; the inner segments narrower, more nearly acute, somewhat twisted; corona cylindrical, narrow, smooth, mouth ribbed and expanded, split in places and overlapping, loosely frilled, with rim crenate"
"Aerolite","2 (a)","Y","Y","de Graaff Bros","pre1923","none","none","","","Perianth segments primrose yellow, slightly reflexed, overlapping; corona long, slender, bright yellow"
"Aeroplane","1 (b)","W","","J. Mallender","pre1908","none","none","","",""
"Aeroplane","2 (a)","Y","","R.H. Bath","pre1927","none","none","","",""
"Aeroplane","","","","A.E. Grindrod","pre1914","none","none","","",""
"Affray","3 (b)","W","R","G.A. Uit den Boogaard","pre1952","none","none","","",""
"Afire","2 (a)","Y","R","J.N. Hancock & Co.","pre1949","none","none","","","Perianth segments yellow; corona bright red"
"Aflame","3 (b)","W","YOO","Warnaar & Co.","pre1938","none","AMHaarlem 1938 FCCHaarlem 1944 ","‘Achievement’","‘Hades’","Perianth segments broad, creamy white, of thick substance, overlapping; corona bowl-shaped, deep orange, with gold at base, mouth flared and lobed. 2n=28"
"Afterglow","3 (a)","Y","YOO","Barr & Sons","pre1908","none","none","","",""
"Afterglow","0","","P","Alister Clark","pre1948","none","none","","",""
"Aftermath","3 (a)","W","","G.H. Engleheart","pre1901","none","AM 1901 ","","","Perianth segments creamy white; corona with fiery red at rim"
"Aga Khan","2 (a)","Y","","G. Lubbe & Son","pre1938","none","AM Haarlem  1937 FCC Haarlem  1938 ","","",""
"Agag","2 (c)","W","W","W.A. Bell","pre1947","none","none","","",""
"Agamemnon","2 (a)","Y","","Sir C.H. Cave","pre1928","none","none","","",""
"Agatha","1 (c)","W","W","G.H. Engleheart","pre1914","none","none","","","Fl. ivory white; perianth segments narrow, acute; corona slender. Mid-season"
"Agathon","2 (a)","Y","Y","A.M. Wilson","pre1949","none","none","","","Perianth segments broadly ovate, blunt, with white mucro, spreading, plane or a little concave, overlapping half; the inner segments narrower, slightly inflexed, with margins wavy and sometimes notched; corona funnel-shaped, lightly ribbed, mouth expanded, more strongly ribbed, frilled, with rim notched and crenate"
"Agawam","1 (c)","W","W","E.C. Powell","pre1946","none","none","‘Nevis’","‘Naxos’",""
"Agena","1","Y","Y","H.R. Bulman","c. 1966","none","none","‘Vigi’ hybrid","",""
"Agheila","3 (b)","W","","J.L. Richardson","pre1944","none","none","‘Coronach’","‘Forfar’","Resembles a much later-flowered 'Matapan'"
"Aglaia","3 (c)","W","W","E. Leeds","pre1877","Leedsii `Aglaia'","none","","","Corona opening primrose yellow tinged orange, becoming milk white"
"Aglow","2 (a)","Y","O","Mrs A.O. Meyrick","pre1947","none","none","","","Perianth segments yellow; corona flared, ribbed, orange, with a richer tone at rim"
"Agnes","8","W","Y","W.J. Eldering & Son","pre1913","none","AM Haarlem  1913 ","","","Perianth segments pure white; corona golden yellow"
"Agnes","8","W","O","","","none","none","","",""
"Agnes Barr","3 (b)","W","Y","W. Backhouse","pre1869","Burbidgei `Delicatus'Burbidgei `Agnes Barr'","none","","","Perianth segments creamy white"
"Agni","3 (b)","W","","de Graaff-Gerharda","pre1926","none","AM Haarlem  1926 ","","",""
"Agnostic","1 (a)","Y","Y","G.H. Engleheart","pre1927","none","none","","","Fl. 101 mm wide; perianth segments deep lemon yellow, incurving, irregular, overlapping a quarter; corona buttercup yellow, with mouth expanded and somewhat frilled. Mid-season to late"
"Agobard","2 (b)","W","O","A.M. Wilson","pre1930","none","none","","","Perianth segments cream; corona orange"
"Agra","2 (b)","Y","O","N.Y. Lower","pre1927","none","AM Haarlem  1927 FCC Haarlem  1930 ","","","Perianth segments large, soft sulphur yellow; corona deep orange, widely expanded"
"Agricola","1 (a)","Y","Y","H.G. Longford","pre1927","none","none","","",""
"Agrippa","3 (b)","W","YYO","P.J. Worsley","pre1907","none","none","‘Dorothy Wemyss’","{N. radiiflorus} var. {poetarum}","Perianth segments creamy white; corona with orange-scarlet at rim"
"Agrippa","3","W","","","","none","none","","",""
"Agrippa","0","","","Mrs R.S. Cobley","pre1937","none","none","","",""
"Agrippina","2","W","Y","Konynenburg & Mark","1961","none","none","‘Binkie’","‘Spellbinder’","Fl. 100 mm wide; perianth segments ivory white; corona pale yellow 18C. Mid-season"
"Agrippina","0","","","P.D. Williams","pre1914","none","none","","",""
"Agrippina","2","W","P","A.H. Ahrens","pre1950","none","PC ","‘Suda’","’Pink o’ Dawn’","Perianth segments very broad, pure white; corona shallow bowl-shaped, pale pink"
"Aguila","2","Y","","","","none","none","","",""
"Ahoy","2 (a)","Y","","J.N. Hancock & Co.","pre1949","none","none","","",""
"Aida","3 (b)","W","Y","The Brodie of Brodie","pre1913","none","none","‘Princess Mary’","{N. poeticus}","Perianth segments pure white; corona bright yellow"
"Aida","1","W","W","","","none","none","","",""
"Aigle d'Or","1 (a)","Y","Y","","pre1907","none","none","","",""
"Aigle d'Or","8","Y","O","","pre1792","none","none","","","Perianth segments yellow; corona rich yellowish orange"
"Aileen","1 (a)","Y","Y","Slieve Donard Nursery Co.","pre1938","none","none","‘Magnificence’ hybrid","","Fl. pure yellow; perianth broad; corona rim flanged. Early. Resembles a stronger and slightly shorter-stemmed `Magnificence' with the perianth segments more nearly spreading"
"Ailsa","1 (c)","W","W","E.M. Crosfield","pre1907","none","AM 1907 ","","","Fl. 93 mm wide; perianth segments creamy white, inflexed, overlapping at base only; corona constricted at waist, cream, mouth expanded and frilled, rim reflexed. Mid-season to late"
"Aimable","3","Y","O","","","none","none","","","Perianth segments smooth; corona large, widely expanded"
"Ainsdale","3 (b)","W","","P. van Deursen","pre1920","`Appleby'","none","","",""
"Air Warden","2 (b)","W","Y","A.S. Brewster","pre1950","none","none","","",""
"Airborne","2 (c)","W","W","A.M. Wilson","pre1948","none","none","","","Corona opening pale lemon, becoming white"
"Airman","1 (a)","Y","Y","A.M. Williams","pre1948","none","none","","",""
"Airway","2 (a)","Y","","H.A. Brown","pre1950","none","none","","",""
"Akbar","2 (a)","Y","ORR","A.M. Wilson","pre1944","none","none","","","Perianth segments bright yellow; corona yellowish orange, with almost the whole of the upper half deep red"
"Akela","1 (a)","Y","Y","J. Hall","pre1930","none","none","","","Fl. yellow; corona expanded, darker in tone than the perianth, frilled"
"Akin","2 (a)","Y","O","J.N. Hancock & Co.","pre1949","none","none","","","Perianth segments rich yellow; corona ribbed, pale orange"
"Akkad","1","Y","Y","W. Jackson Jr","1967","none","none","‘Chillion’","‘Tulendena’","Fl. large, yellow; perianth segments broad, smooth, of good substance, deeply overlapping; corona deeper in tone than the perianth, with rim rolled and serrate"
"Akron","3 (b)","W","","G.A. Uit den Boogaard","pre1950","none","none","","",""
"Akura","1 (a)","Y","Y","","pre1927","none","none","","","Fl. golden yellow"
"Al Johnson","3 (b)","W","","J.W.A. Lefeber","pre1941","none","none","","",""
"Al Smith","1 (a)","Y","Y","G. Haver","pre1933","none","none","","",""
"Alabama","3 (a)","Y","","de Graaff Bros","pre1927","`Ivanhoe'","none","","",""
"Alabaster","5","W","W","H. Backhouse","pre1912","none","none","‘Minnie Hume’","{N. triandrus} var. {loiseleurii}","Perianth segments fairly broad; corona long"
"Alachua","1 (b)","W","","E.C. Powell","pre1948","none","none","","",""
"Alamein","2 (a)","Y","O","J.L. Richardson","pre1942","none","AM(e)  1945 ","‘Trevisky’","‘Marksman’","Fl. 102 mm wide; perianth segments broadly ovate, blunt, only slightly mucronate, vivid yellow 9A, spreading or a little inflexed, a little concave, smooth, overlapping half; the inner segments more narrowly ovate, shouldered at base and sometimes thumbed, more strongly inflexed; corona short funnel-shaped, loosely ribbed, vivid orange 28B, with mouth straight, more or less tightly frilled. Mid-season"
"Alan","3 (b)","W","","L. van Leeuwen & Son","pre1931","`Flamboyant'","none","","",""
"Alannah","5","","","Sir J.A.R. Gore-Booth","pre1916","none","none","","",""
"Alanton","2 (a)","Y","Y","A. Gibson","pre1927","none","none","","",""
"Alara","2 (b)","W","","Barr & Sons","pre1923","none","none","","",""
"Alaric","3 (b)","W","","A.M. Wilson","pre1910","none","none","","",""
"Alaska","1 (a)","Y","Y","de Graaff Bros","pre1926","`John Bright'","none","","",""
"Alasnam","1 (a)","Y","Y","de Graaff Bros","pre1922","none","none","","","Perianth segments canary yellow, inflexed; corona broad, rich golden yellow, with mouth expanded and frilled"
"Alayne","2 (b)","W","YYO","C.G. van Tubergen","pre1947","none","none","","","Perianth segments snow white; corona yellow, with orange at rim, rim frilled. 2n=28"
"Alban","2 (c)","W","W","G.H. Engleheart","pre1923","none","none","","",""
"Albania","8","W","Y","G. van der Weyden Jobson","pre1914","none","AM Haarlem  1914 ","","","Corona large, deep yellow"
"Albany","8","W","YOO","A. Frylink & Sons","pre1931","none","AM Haarlem  1931 ","","","Fls about 3 per stem, medium-sized; perianth segments creamy white; corona orange. 2n=31"
"Albatross","3 (b)","W","YYO","G.H. Engleheart","pre1891","none","FCC 1894 ","‘Ornatus’","‘Empress’","Fl. up to 127 mm wide; perianth segments broadly ovate, rounded or squarish at apex, prominently mucronate, clear white, spreading or slightly inflexed, with margins wavy or incurved, sometimes recurved in lower half, with midrib showing, separated at base, sometimes overlapping at mid-point; the inner segments more narrowly ovate, only very slightly mucronate; corona bowl-shaped, ribbed, very pale lemon yellow, with a well-defined band of orange at rim, mouth straight, loosely frilled, rim notched. Resembles sibling 'Seagull' but with a contrasting colour at corona rim. 2n=28"
"Albert","1 (a)","Y","Y","L. Buckland","pre1936","none","none","","",""
"Albert Vis","8","W","O","A. Vis","pre1912","none","AM Haarlem  1912 ","‘King Edward VII’","‘Staaten Generaal’","Corona rich reddish orange"
"Alberta","2 (a)","Y","","R.H. Bath","pre1931","none","none","","",""
"Albertina","3 (b)","W","Y","Barr & Sons","pre1914","none","none","","","Perianth segments pure white; corona shallow, ribbed, pale primrose yellow"
"Albidus","1","W","Y","","","none","none","","",""
"Albiflos","8","W","W","","pre1850","none","none","","",""
"Albino","1 (c)","W","W","H. Backhouse","pre1910","none","FCC Haarlem  1926 ","","","Fl. opening creamy white, becoming white"
"Albidus","3 (b)","W","Y","E. Leeds","pre1877","Barrii Albidus `Albidus'","none","","","Perianth segments sulphur white; corona yellow"
"Albidus","2 (b)","W","Y","E. Leeds","pre1877","Incomparabilis Albidus `Albidus'","none","","","Perianth segments sulphur white; corona yellow"
"Alburnia","3 (b)","W","Y","A.E. Lowe","pre1927","none","none","","","Perianth segments pure white; corona shallow, soft yellow. Mid-season"
"Albus","2","W","Y","E. Leeds","pre1872","Incomparabilis Albus `Albus'"The Peerless Daffodil"","none","","",""
"Albus","3 (b)","W","Y","E. Leeds","pre1877","Barrii Albus `Albus'","none","","","Perianth segments pure white; corona citron yellow"
"Alcaeus","9","W","","G.H. Engleheart","pre1916","none","none","","",""
"Alcanar","1 (a)","Y","Y","A.M. Wilson","pre1931","none","none","","",""
"Alcazar","3 (a)","Y","","Miss G. Evelyn","pre1930","none","none","","",""
"Alceste","2 (b)","W","Y","C.G. van Tubergen","pre1922","none","AM Haarlem  1922 FCC Haarlem  1933 ","","","Fl. 102 mm wide; perianth segments white, with cream at base, inflexed, with margins incurved, regular, overlapping one-third; corona broad funnel-shaped, rich lemon yellow"
"Alchemist","1 (a)","Y","Y","A.M. Wilson","pre1908","none","none","","","Fl. rich yellow; perianth segments acute; corona rim dentate"
"Alchemy","1 (a)","Y","Y","G.E. Mitsch","pre1952","none","none","‘Camberwell King’","‘Galway’","Fl. clear rich yellow; perianth segments smooth, overlapping; corona rim neatly flanged. Mid-season. Resembles a stronger-stemmed 'Camberwell King' of more consistent growth and flower"
"Alciette","2 (b or c)","W","","W.B. Cranfield","pre1927","none","none","","",""
"Alciphron","2 (a)","Y","","R.H. Bath","pre1931","none","none","","",""
"Alcmena","5","","","Barr & Sons","pre1923","none","none","","",""
"Alconia","2 (b)","W","R","C.E. Radcliff","pre1938","none","none","‘Alcides’","’Mrs Fell’",""
"Alcyone","2 (b or c)","W","","C. Dawson","pre1923","none","none","","",""
"Alden","3 (b)","W","","J. Pope","pre1913","none","none","","",""
"Aldhelm","3 (b)","W","G","Mrs R.S. Cobley","pre1932","none","none","","",""
"Aldie","2 (a)","Y","","The Brodie of Brodie","pre1930","none","none","","",""
"Aldor","1","Y","Y","H.R. Bulman","c. 1967","none","none","‘Kingscourt’","‘Kalman’",""
"Alec","1 (a)","Y","Y","W. Poupart","pre1914","none","none","","",""
"Aled","2 (b)","W","","W.A. Watts","pre1923","none","none","‘Minnie Hume’","‘Weardale Perfection’",""
"Alegra","1 (b)","W","","Barr & Sons","pre1929","none","none","","",""
"Alembdar","2 (a)","Y","","A.M. Wilson","pre1944","none","none","‘Khamseen’ hybrid","",""
"Alembic","2 (a)","Y","R","A.M. Wilson","pre1944","none","none","‘Khamseen’","P.D.Williams sdlg","Perianth segments deep yellow; corona deep red"
"Alembroth","2 (a)","Y","Y","A.M. Wilson","pre1944","none","none","","","Fl. deep yellow"
"Alemena","5","","","","pre1936","none","none","‘Lord Roberts’","{N. triandrus} var. {loiseleurii}",""
"Alencon","2 (b)","W","Y","Barr & Sons","pre1923","none","none","","","Perianth segments overlapping; corona long, cylindrical, rich yellow"
"Alendale","2 (a)","Y","Y","Mrs E. Murray","","none","none","","",""
"Aleppo","3 (b)","W","R","The Brodie of Brodie","c.1927","none","none","‘Bernardino’","‘Sunstar’","Fl. rounded; perianth segments of great substance, overlapping; corona almost disc-shaped, stained deep red. 2n=28"
"Alert","1 (a)","Y","Y","J.R. Pearson & Sons","pre1904","none","AM 1904 ","{N. obvallaris} sdlg","",""
"Aletha","2 (b)","W","YYP","J.T. Gray","pre1949","none","none","","","Corona cylindrical, lemon yellow, with a band of pink at rim"
"Alexander","0","","","Sir A.P.W. Thomas","pre1915","none","none","","",""
"Alexandre","8","","","","pre1938","none","none","","",""
"Alexas","1","W","Y","","","none","none","","",""
"Alexis","1 (b)","W","Y","Barr & Sons","pre1923","none","none","","","Fl. 89 mm wide; perianth segments creamy white, regular, overlapping half; corona sulphur yellow. Mid-season to late"
"Alfonso","2","Y","O","","","none","none","","",""
"Alfonso","1","Y","Y","","","none","none","","",""
"Algiers","3 (b)","W","O","J.L. Richardson","pre1937","none","none","‘Forfar’ self pollinated","","Perianth segments pure white, slightly incurved; corona very shallow bowl-shaped, bright orange"
"Algitha","9","W","","A.M. Wilson","pre1914","none","none","","",""
"Algonquin","2 (c)","W","W","E.C. Powell","pre1946","none","none","","",""
"Algor","2 (c)","W","W","A.M. Wilson","pre1944","none","none","","",""
"Alhambra","1 (a)","Y","Y","Konynenburg & Mark","pre1953","none","none","","",""
"Alhena","1 (b)","W","","R.A. van der Schoot","pre1930","none","none","","",""
"Alicante","2 (b)","W","O","G.L. Wilson","pre1954","none","none","‘Pierrot’","‘Athlone’","Fl. 111 mm wide; perianth segments white, shading to near brilliant yellow 8A at base, slightly incurving, overlapping; corona ribbed, near strong orange 25A, with streaks of orange-yellow (near 21A) more frequent on the outside, mouth slightly expanded, rim crenate"
"Alice","5","","","","pre1913","none","none","","",""
