cultivar,division,perianth,corona,orig_name,date,synonym,awards,seed_parent,pollen_parent,description
Acme,9,W,R,G.H. Engleheart,1907-03-30,none,none,"","","Fl. rounded; perianth segments very broad, blunt or truncate, prominently mucronate, snow white, a little reflexed, overlapping half or more; the inner segments only very slightly mucronate, with margins recurved at base; corona disc-shaped, closely ribbed, solid brick-red or scarlet. Mid-season"
Acolyte,5,W,W,P.D. Williams,1927-03-30,none,none,Large Leedsii sdlg,{N. triandrus},"Fl. 90 mm wide, facing down; perianth segments creamy white, overlapping half; corona cup-shaped, pale cream. Mid-season to late"
Achill,2,Y,Y,"",,none,none,"","",""
Achilles,1,Y,Y,Barr & Sons,1887-03-30,none,none,"","",Perianth segments light yellow; corona rich yellow. Early
Ace High,1,W,W,T.H. Piper,,none,none,‘Glendermott’,‘Swanlough’,""
Achates,1,Y,Y,Barr & Sons,1923-03-30,none,none,"","",""
Accomac,2,Y,O,E.C. Powell,1949-03-30,none,none,‘Bernardino’ x ‘Fortune’,‘Cornish Fire’,Perianth segments rich yellow; corona scarlet-orange
Accident,1,Y,Y,Sir C.H. Cave,1928-03-30,none,none,"","",""
Acclaim,1,Y,Y,G.H. Johnstone,1944-03-30,none,none,"","",""
Abschied,3,W,YOO,A.M. Wilson,1908-03-30,none,none,Div.9 sdlg,‘Beacon’,""
Abundance,8,Y,Y,"",,none,none,"","",""
Ablush,2,W,P,"",,none,none,"","",""
Ablaze,2,Y,O,C.O. Fairbairn,,none,none,"","","Perianth segments broadly ovate, blunt, very slightly mucronate, rich yellow, a little reflexed, smooth and of heavy substance, overlapping one-third to a half; the inner segments not much narrower, square-shouldered at base, more strongly reflexed; corona long cup-shaped, broadly ribbed, reddish orange, mouth straight, wavy. Tall. Mid-season to late"
Abigail,2,W,P,"",,none,none,"","",""
Abigail,1,W,W,A.M. Wilson,1910-03-30,none,none,"","",""
Abinadab,2,W,W,R.F. Calvert,1934-03-30,none,none,"","",""
Abingdon,3,Y,R,P.D. Williams,1928-03-30,none,none,"","",Perianth segments cream; corona solid red
Aberdeen,1,Y,Y,"",,none,none,"","",""
Abbotsley,2,Y,Y,R.H. Bath,1933-03-30,none,none,"","",""
Abandon,2,W,W,W.A. Bell,1947-03-30,none,none,"","",""
Abberley,2,Y,Y,A.M. Wilson,1944-03-30,none,none,"","",Fl. deep golden yellow; corona frilled
Abbess,1,W,W,W.A. Grace,1938-03-30,none,none,"","",""
Abadan,2,W,YRR,W. Blom & Son,1954-03-30,none,none,‘John Evelyn’,‘Sender Wallace’,""
Abadea,2,W,W,W.F.M. Copeland,1920-03-30,none,none,"","",Perianth segments fairly smooth; corona creamy white
Aashild,3,W,W,"",1938-03-30,none,none,"","",""
Abacot,1,W,W,G.H. Engleheart,1923-03-30,none,none,"","",""
Abacus,1,Y,Y,A.F. Calvert,1929-03-30,none,none,"","",""
Aabenraa,2,Y,O,P.D. Williams,1931-03-30,none,AM(e)  1932 ,"","","Perianth segments very broadly ovate, blunt or squarish at apex, slightly mucronate, spreading, overlapping one-third to a half; the inner segments more narrowly ovate, angled at shoulder, with margins wavy or incurled; corona broad funnel-shaped, loosely ribbed, orange, paling to base, with mouth straight, lightly frilled"
Aachen,1,Y,Y,A.F. Calvert,1928-03-30,none,none,"","",""
Aala,2,Y,Y,W. Jackson Sr,1949-03-30,none,none,’Acca’,’Guilmette’,""
Aard-Wolf,1,W,W,W.B. Cranfield,1931-03-30,none,none,"","",""
A.R.Males,2,Y,O,C.O. Fairbairn,1959-03-30,none,none,"","","Perianth segments deep yellow; corona tangerine orange, with mouth expanded and rim reflexed"
Aabaknot,1,W,W,W.B. Cranfield,1931-03-30,none,none,"","",""
A.E.Lowe,2,W,W,A.E. Lowe,1925-03-30,none,none,"","","Fl. pure white; corona very large, expanded"
A.G.Bull,1,Y,Y,A.E. Lowe,1925-03-30,none,none,"","",""
A.L.Scott,1,Y,Y,J.N. Hancock & Co.,1949-03-30,none,none,"","",""
Adler,2,W,YYO,de Graaff Bros,1929-03-30,none,AM Haarlem  1928 ,"","","Perianth segments pure white; corona yellow, with orange at rim"
Adonia,8,Y,Y,"",1846-03-30,none,none,"","",Perianth segments dark primrose yellow; corona rich golden yellow
Adonia,3,W,O,E.M. Crosfield,1909-03-30,none,none,"","","Perianth segments creamy white; corona ribbed, scarlet-orange"
Adorable,1,W,W,R.H. Bath,1931-03-30,none,none,"","",""
Adoration,5,W,W,W.F.M. Copeland,1927-03-30,none,none,"","",""
Adorna,3,Y,GYY,Barr & Sons,1923-03-30,none,none,"","","Perianth segments pale primrose yellow, overlapping; corona rich orange-yellow, with rim frilled"
Adorned,2,W,P,C.O. Fairbairn,1959-03-30,none,none,"","",""
Adour,1,Y,Y,Miss E. Willmott,1903-03-30,none,AM 1903 ,"","",Fl. brilliant golden yellow. Late
Adrastus,2,W,GYY,C. Dawson,1912-03-30,none,none,"","","Corona rich golden yellow paling clear yellow at rim, with green at base. Late"
Adriana,1,Y,Y,Barr & Sons,1923-03-30,none,none,"","","Fl. large, soft clear yellow"
Adsum,2,W,Y,A.E. Lowe,1927-03-30,none,none,"","",Corona soft yellow
Advance,8,W,O,"",,none,none,"","",""
Advance,9,W,OOR,G.H. Engleheart,1913-03-30,none,none,"","","Fl. 70 mm wide; perianth segments overlapping; corona reddish orange, with dull red at rim"
Advent,1,Y,Y,E.M. Crosfield,1914-03-30,none,none,"","",""
Adventure,2,Y,Y,F.H. Chapman,1927-03-30,none,AM(e)  1929 AM Haarlem  1930 ,‘Desperado’,‘Commander in Chief’,"Perianth segments broadly ovate, blunt or truncate, slightly mucronate, deep yellow, spreading, overlapping half; the inner segments a little narrower, slightly inflexed, with margins a little wavy; corona funnel-shaped, smooth, darker in tone than the perianth, with mouth expanded, rim slightly rolled and regularly crenate"
Advocate,2,W,O,G.W.E. Brogden,1961-03-30,none,none,"","",Fl. 108 mm wide; corona light orange. Mid-season
Aeolus,1,W,Y,M. van Waveren & Sons,1930-03-30,none,none,"","","Fl. large; perianth segments very broadly ovate, blunt, only very slightly mucronate, spreading, plane, overlapping half; the inner segments narrower, more nearly acute, somewhat twisted; corona cylindrical, narrow, smooth, mouth ribbed and expanded, split in places and overlapping, loosely frilled, with rim crenate"
Aerolite,2,Y,Y,de Graaff Bros,1923-03-30,none,none,"","","Perianth segments primrose yellow, slightly reflexed, overlapping; corona long, slender, bright yellow"
Affray,3,W,R,G.A. Uit den Boogaard,1952-03-30,none,none,"","",""
Afire,2,Y,R,J.N. Hancock & Co.,1949-03-30,none,none,"","",Perianth segments yellow; corona bright red
Aflame,3,W,YOO,Warnaar & Co.,1938-03-30,none,AMHaarlem 1938 FCCHaarlem 1944 ,‘Achievement’,‘Hades’,"Perianth segments broad, creamy white, of thick substance, overlapping; corona bowl-shaped, deep orange, with gold at base, mouth flared and lobed. 2n=28"
Afterglow,3,Y,YOO,Barr & Sons,1908-03-30,none,none,"","",""
Agag,2,W,W,W.A. Bell,1947-03-30,none,none,"","",""
Agatha,1,W,W,G.H. Engleheart,1914-03-30,none,none,"","","Fl. ivory white; perianth segments narrow, acute; corona slender. Mid-season"
Agathon,2,Y,Y,A.M. Wilson,1949-03-30,none,none,"","","Perianth segments broadly ovate, blunt, with white mucro, spreading, plane or a little concave, overlapping half; the inner segments narrower, slightly inflexed, with margins wavy and sometimes notched; corona funnel-shaped, lightly ribbed, mouth expanded, more strongly ribbed, frilled, with rim notched and crenate"
Agawam,1,W,W,E.C. Powell,1946-03-30,none,none,‘Nevis’,‘Naxos’,""
Agena,1,Y,Y,H.R. Bulman,,none,none,‘Vigi’ hybrid,"",""
Aglow,2,Y,O,Mrs A.O. Meyrick,1947-03-30,none,none,"","","Perianth segments yellow; corona flared, ribbed, orange, with a richer tone at rim"
Agnes,8,W,Y,W.J. Eldering & Son,1913-03-30,none,AM Haarlem  1913 ,"","",Perianth segments pure white; corona golden yellow
Agnes,8,W,O,"",,none,none,"","",""
Agnostic,1,Y,Y,G.H. Engleheart,1927-03-30,none,none,"","","Fl. 101 mm wide; perianth segments deep lemon yellow, incurving, irregular, overlapping a quarter; corona buttercup yellow, with mouth expanded and somewhat frilled. Mid-season to late"
Agobard,2,W,O,A.M. Wilson,1930-03-30,none,none,"","",Perianth segments cream; corona orange
Agra,2,Y,O,N.Y. Lower,1927-03-30,none,AM Haarlem  1927 FCC Haarlem  1930 ,"","","Perianth segments large, soft sulphur yellow; corona deep orange, widely expanded"
Agricola,1,Y,Y,H.G. Longford,1927-03-30,none,none,"","",""
Agrippa,3,W,YYO,P.J. Worsley,1907-03-30,none,none,‘Dorothy Wemyss’,{N. radiiflorus} var. {poetarum},Perianth segments creamy white; corona with orange-scarlet at rim
Agrippina,2,W,Y,Konynenburg & Mark,1961-03-30,none,none,‘Binkie’,‘Spellbinder’,Fl. 100 mm wide; perianth segments ivory white; corona pale yellow 18C. Mid-season
Agrippina,2,W,P,A.H. Ahrens,1950-03-30,none,PC ,‘Suda’,’Pink o’ Dawn’,"Perianth segments very broad, pure white; corona shallow bowl-shaped, pale pink"
Aida,3,W,Y,The Brodie of Brodie,1913-03-30,none,none,‘Princess Mary’,{N. poeticus},Perianth segments pure white; corona bright yellow
Aida,1,W,W,"",,none,none,"","",""
Aigle d'Or,1,Y,Y,"",1907-03-30,none,none,"","",""
Aigle d'Or,8,Y,O,"",1792-03-30,none,none,"","",Perianth segments yellow; corona rich yellowish orange
Aileen,1,Y,Y,Slieve Donard Nursery Co.,1938-03-30,none,none,‘Magnificence’ hybrid,"",Fl. pure yellow; perianth broad; corona rim flanged. Early. Resembles a stronger and slightly shorter-stemmed `Magnificence' with the perianth segments more nearly spreading
Ailsa,1,W,W,E.M. Crosfield,1907-03-30,none,AM 1907 ,"","","Fl. 93 mm wide; perianth segments creamy white, inflexed, overlapping at base only; corona constricted at waist, cream, mouth expanded and frilled, rim reflexed. Mid-season to late"
Aimable,3,Y,O,"",,none,none,"","","Perianth segments smooth; corona large, widely expanded"
Air Warden,2,W,Y,A.S. Brewster,1950-03-30,none,none,"","",""
Airborne,2,W,W,A.M. Wilson,1948-03-30,none,none,"","","Corona opening pale lemon, becoming white"
Airman,1,Y,Y,A.M. Williams,1948-03-30,none,none,"","",""
Akbar,2,Y,ORR,A.M. Wilson,1944-03-30,none,none,"","","Perianth segments bright yellow; corona yellowish orange, with almost the whole of the upper half deep red"
Akela,1,Y,Y,J. Hall,1930-03-30,none,none,"","","Fl. yellow; corona expanded, darker in tone than the perianth, frilled"
Akin,2,Y,O,J.N. Hancock & Co.,1949-03-30,none,none,"","","Perianth segments rich yellow; corona ribbed, pale orange"
Akkad,1,Y,Y,W. Jackson Jr,1967-03-30,none,none,‘Chillion’,‘Tulendena’,"Fl. large, yellow; perianth segments broad, smooth, of good substance, deeply overlapping; corona deeper in tone than the perianth, with rim rolled and serrate"
Akura,1,Y,Y,"",1927-03-30,none,none,"","",Fl. golden yellow
Al Smith,1,Y,Y,G. Haver,1933-03-30,none,none,"","",""
Alabaster,5,W,W,H. Backhouse,1912-03-30,none,none,‘Minnie Hume’,{N. triandrus} var. {loiseleurii},Perianth segments fairly broad; corona long
Alamein,2,Y,O,J.L. Richardson,1942-03-30,none,AM(e)  1945 ,‘Trevisky’,‘Marksman’,"Fl. 102 mm wide; perianth segments broadly ovate, blunt, only slightly mucronate, vivid yellow 9A, spreading or a little inflexed, a little concave, smooth, overlapping half; the inner segments more narrowly ovate, shouldered at base and sometimes thumbed, more strongly inflexed; corona short funnel-shaped, loosely ribbed, vivid orange 28B, with mouth straight, more or less tightly frilled. Mid-season"
Alanton,2,Y,Y,A. Gibson,1927-03-30,none,none,"","",""
Alasnam,1,Y,Y,de Graaff Bros,1922-03-30,none,none,"","","Perianth segments canary yellow, inflexed; corona broad, rich golden yellow, with mouth expanded and frilled"
Alayne,2,W,YYO,C.G. van Tubergen,1947-03-30,none,none,"","","Perianth segments snow white; corona yellow, with orange at rim, rim frilled. 2n=28"
Alban,2,W,W,G.H. Engleheart,1923-03-30,none,none,"","",""
Albania,8,W,Y,G. van der Weyden Jobson,1914-03-30,none,AM Haarlem  1914 ,"","","Corona large, deep yellow"
Albany,8,W,YOO,A. Frylink & Sons,1931-03-30,none,AM Haarlem  1931 ,"","","Fls about 3 per stem, medium-sized; perianth segments creamy white; corona orange. 2n=31"
Albatross,3,W,YYO,G.H. Engleheart,1891-03-30,none,FCC 1894 ,‘Ornatus’,‘Empress’,"Fl. up to 127 mm wide; perianth segments broadly ovate, rounded or squarish at apex, prominently mucronate, clear white, spreading or slightly inflexed, with margins wavy or incurved, sometimes recurved in lower half, with midrib showing, separated at base, sometimes overlapping at mid-point; the inner segments more narrowly ovate, only very slightly mucronate; corona bowl-shaped, ribbed, very pale lemon yellow, with a well-defined band of orange at rim, mouth straight, loosely frilled, rim notched. Resembles sibling 'Seagull' but with a contrasting colour at corona rim. 2n=28"
Albert,1,Y,Y,L. Buckland,1936-03-30,none,none,"","",""
Albert Vis,8,W,O,A. Vis,1912-03-30,none,AM Haarlem  1912 ,‘King Edward VII’,‘Staaten Generaal’,Corona rich reddish orange
Albertina,3,W,Y,Barr & Sons,1914-03-30,none,none,"","","Perianth segments pure white; corona shallow, ribbed, pale primrose yellow"
Albidus,1,W,Y,"",,none,none,"","",""
Albiflos,8,W,W,"",1850-03-30,none,none,"","",""
Albino,1,W,W,H. Backhouse,1910-03-30,none,FCC Haarlem  1926 ,"","","Fl. opening creamy white, becoming white"
Alburnia,3,W,Y,A.E. Lowe,1927-03-30,none,none,"","","Perianth segments pure white; corona shallow, soft yellow. Mid-season"
Alcanar,1,Y,Y,A.M. Wilson,1931-03-30,none,none,"","",""
Alceste,2,W,Y,C.G. van Tubergen,1922-03-30,none,AM Haarlem  1922 FCC Haarlem  1933 ,"","","Fl. 102 mm wide; perianth segments white, with cream at base, inflexed, with margins incurved, regular, overlapping one-third; corona broad funnel-shaped, rich lemon yellow"
Alchemist,1,Y,Y,A.M. Wilson,1908-03-30,none,none,"","",Fl. rich yellow; perianth segments acute; corona rim dentate
Alchemy,1,Y,Y,G.E. Mitsch,1952-03-30,none,none,‘Camberwell King’,‘Galway’,"Fl. clear rich yellow; perianth segments smooth, overlapping; corona rim neatly flanged. Mid-season. Resembles a stronger-stemmed 'Camberwell King' of more consistent growth and flower"
Alconia,2,W,R,C.E. Radcliff,1938-03-30,none,none,‘Alcides’,’Mrs Fell’,""
Aldhelm,3,W,G,Mrs R.S. Cobley,1932-03-30,none,none,"","",""
Aldor,1,Y,Y,H.R. Bulman,,none,none,‘Kingscourt’,‘Kalman’,""
Alec,1,Y,Y,W. Poupart,1914-03-30,none,none,"","",""
Alembic,2,Y,R,A.M. Wilson,1944-03-30,none,none,‘Khamseen’,P.D.Williams sdlg,Perianth segments deep yellow; corona deep red
Alembroth,2,Y,Y,A.M. Wilson,1944-03-30,none,none,"","",Fl. deep yellow
Alencon,2,W,Y,Barr & Sons,1923-03-30,none,none,"","","Perianth segments overlapping; corona long, cylindrical, rich yellow"
Alendale,2,Y,Y,Mrs E. Murray,,none,none,"","",""
Aleppo,3,W,R,The Brodie of Brodie,,none,none,‘Bernardino’,‘Sunstar’,"Fl. rounded; perianth segments of great substance, overlapping; corona almost disc-shaped, stained deep red. 2n=28"
Alert,1,Y,Y,J.R. Pearson & Sons,1904-03-30,none,AM 1904 ,{N. obvallaris} sdlg,"",""
Aletha,2,W,YYP,J.T. Gray,1949-03-30,none,none,"","","Corona cylindrical, lemon yellow, with a band of pink at rim"
Alexas,1,W,Y,"",,none,none,"","",""
Alexis,1,W,Y,Barr & Sons,1923-03-30,none,none,"","","Fl. 89 mm wide; perianth segments creamy white, regular, overlapping half; corona sulphur yellow. Mid-season to late"
Alfonso,2,Y,O,"",,none,none,"","",""
Alfonso,1,Y,Y,"",,none,none,"","",""
Algiers,3,W,O,J.L. Richardson,1937-03-30,none,none,‘Forfar’ self pollinated,"","Perianth segments pure white, slightly incurved; corona very shallow bowl-shaped, bright orange"
Algonquin,2,W,W,E.C. Powell,1946-03-30,none,none,"","",""
Algor,2,W,W,A.M. Wilson,1944-03-30,none,none,"","",""
Alhambra,1,Y,Y,Konynenburg & Mark,1953-03-30,none,none,"","",""
Alicante,2,W,O,G.L. Wilson,1954-03-30,none,none,‘Pierrot’,‘Athlone’,"Fl. 111 mm wide; perianth segments white, shading to near brilliant yellow 8A at base, slightly incurving, overlapping; corona ribbed, near strong orange 25A, with streaks of orange-yellow (near 21A) more frequent on the outside, mouth slightly expanded, rim crenate"
Alicia,2,W,YYW,Barr & Sons,1922-03-30,none,none,"","","Corona large, soft primrose yellow, with creamy white at rim, and rim flanged"
Alicydon,1,W,W,"",,none,none,"","",""
Alida,1,Y,Y,de Graaff Bros,1896-03-30,none,none,"","","Perianth segments soft canary yellow, somewhat twisted; corona large, bright yellow"
Alight,3,Y,O,P.D. Williams,1933-03-30,none,*HC(g)  1952 ,"","","Fl. 70 mm wide; perianth segments broadly ovate or somewhat oblong, blunt or truncate, pale yellow 11D, tinged orange at base, with white mucro, reflexed, overlapping one-third; the inner segments less strongly inflexed, with margins wavy; corona cup-shaped, smooth, orange (28A), mouth only slightly expanded, even, with rim deeply notched"
Alison,2,W,P,J.N. Hancock & Co.,,none,none,"","",""
Alison,3,W,W,A.M. Wilson,1931-03-30,none,none,‘Nelly’ hybrid,"",""
Alkoomi,2,Y,O,A.O. Roblin,1945-03-30,none,none,‘Lilian Murdoch’,‘Cheerio’,""
All Glory,1,W,Y,G.A. Uit den Boogaard,1951-03-30,none,AM Haarlem  1952 ,"","",Corona soft yellow
All Gold,1,Y,Y,The Brodie of Brodie,1929-03-30,none,none,"","",""
Allalin,1,W,W,D. Blanchard,1949-03-30,none,none,"","",""
Allanah,1,W,W,"",,none,none,"","",""
Allegro,2,Y,YYO,P. van Deursen,1943-03-30,none,AM Haarlem  1942 ,"","",Fl. yellow; corona with deep orange at rim
Allendale,2,W,W,E.W. Philpott,,none,none,"","",""
Alleyne,1,W,W,D.V. West,1923-03-30,none,none,"","",Fl. pure white; corona frilled
Allumette,8,Y,Y,"",1798-03-30,none,none,"","",Fl. sulphur yellow
Alluvial,1,Y,Y,A.F. Calvert,1934-03-30,none,none,"","",""
Alma,1,Y,Y,G.H. Engleheart,1900-03-30,none,AM 1900 ,‘Maximus’ hybrid,"","Fl. 114 mm wide, soft canary yellow; perianth segments twisted; corona broad, with mouth widely expanded, rim flanged. Early"
Almee,1,W,W,van Zonneveld Bros & Philippo,1931-03-30,none,none,"","",""
Almoner,2,Y,R,P.D. Williams,1939-03-30,none,none,"","","Fl. rounded; perianth segments bright yellow, overlapping; corona intense red. Late"
Aloisis,1,Y,Y,J.W. Barr,1930-03-30,none,none,"","",""
Alope,5,Y,Y,Barr & Sons,1919-03-30,none,none,"","",Perianth segments primrose yellow; corona canary yellow
Aloquin,2,W,Y,Konynenburg & Mark,1953-03-30,none,none,‘Daisy Schaffer’,‘Fortune’,""
Alpha,1,Y,Y,J.W. Jones,1907-03-30,none,none,"","",""
Alpha,9,W,YYR,A.M. Wilson,1915-03-30,none,none,"","","Perianth segments very broad, rounded or squarish at apex, mucronate, a little reflexed, plane, overlapping half; the inner segments narrower, spreading, with margins wavy; corona disc-shaped, closely ribbed, pale yellow with a narrow band of red at rim"
Alphonso,1,Y,Y,G. Lubbe & Son,1931-03-30,none,AM Haarlem  1931 ,"","",""
Alport,3,Y,R,D.B. Milne,1950-03-30,none,none,"","",""
Alroi,2,Y,Y,J.L. Richardson,1926-03-30,none,AM(e)  1926 ,"","","Fl. forming a double triangle, soft yellow; perianth segments very broadly ovate, blunt, yellow, with slight white mucro, spreading or a little reflexed, plane, with midrib showing, overlapping half; the inner segments more narrowly ovate, more nearly acute, more prominently mucronate, broad-shouldered at base, a little inflexed; corona cylindrical at base, flared from about mid-point, smooth, darker in tone than the perianth, lightly frilled, with rim slightly flanged and broadly and shallowly crenate"
Alsace,8,W,YYO,R. van der Schoot & Son,1907-03-30,none,none,"","","Fls large, plus or minus 3 per stem; perianth pure white; corona yellow, with orange at rim. 2n=17"
Alswitha,1,Y,Y,W. Welchman,1908-03-30,none,none,"","",""
Altar Cup,2,W,W,Mrs P.M. Davis,1948-03-30,none,none,"","",""
Althea,1,W,W,D.V. West,1932-03-30,none,none,"","","Perianth segments pure white; corona opening creamy white, becoming almost pure white"
Altimont,1,W,W,C.E. Radcliff,1942-03-30,none,none,"","",""
Alton,2,Y,Y,J.T. Gray,1949-03-30,none,none,"","","Perianth segments buttercup yellow; corona deeper in tone, with rim rolled"
Altyre,3,W,W,The Brodie of Brodie,,none,none,‘Nelly’ hybrid,‘Chinese White’,"Fl. rounded, about 125mm wide, pure white; perianth segments very broad, blunt or squarish at apex, only slightly mucronate, spreading, of great substance, overlapping half; the inner segments narrower, a little inflexed, with margins wavy, square-shouldered at base; corona narrow bowl-shaped, loosely ribbed, frilled. Mid-season"
Alvanley,1,W,Y,C.E. Radcliff,1938-03-30,none,none,"","",""
Alvarez,1,Y,Y,de Graaff Bros,1897-03-30,none,none,"","",Fl. 150mm wide. Resembles a shorter-stemmed `Emperor'
Alverado,2,W,Y,"",1965-03-30,none,none,"","",""
Alverton,2,Y,GYY,R.V. Favell,1946-03-30,none,none,Sdlg,‘Fortune’,""
Alycidon,1,W,W,J.L. Richardson,1933-03-30,none,none,‘Carmel’ open pollinated,‘Broughshane’,"Fl. milk white; perianth segments very broadly ovate, slightly mucronate, smooth, with margins sometimes incurving at apex, overlapping half; the inner segments more narrowly ovate, a little twisted and slightly reflexed; corona straight-sided, smooth, mouth expanded and neatly frilled, rim reflexed and dentate"
Alys,5,W,W,G.H. Engleheart,1913-03-30,none,none,"","","Fls one or more per stem, pure white, facing down; perianth segments ovate, blunt, slightly mucronate, a little inflexed, with margins wavy, overlapping at base only; the inner segments narrower and more nearly acute; corona short funnel-shaped, ribbed, mouth straight, a little frilled, rim crenate"
Amadis,1,Y,Y,Barr & Sons,1924-03-30,none,none,"","","Perianth segments primrose yellow; corona broad, rich yellow"
Amador,2,W,R,J.L. Richardson,1942-03-30,none,AM Haarlem  1942 ,"","",""
Amante,8,Y,Y,"",1798-03-30,none,none,"","",Fl. golden yellow
Amarella,3,W,O,"",1950-03-30,none,none,"","","Perianth segments snow white; corona very shallow, widely expanded, bright orange, frilled"
Amarillus,8,W,Y,"",1807-03-30,none,none,"","",""
Amary,2,Y,YYR,C.O. Fairbairn,1962-03-30,none,none,"","","Perianth segments broad, bright rich yellow, spreading; corona widely expanded, yellow, with a broad band of cherry red at rim"
Amastris,1,W,Y,Barr & Sons,1922-03-30,none,none,"","","Perianth segments slightly reflexed; corona lemon yellow, mouth expanded and frilled, rim flanged"
Amateur,3,W,O,P. van Deursen,1943-03-30,none,AM Haarlem  1943 ,"","",""
Amazon,3,W,Y,C. Smith,1904-03-30,none,none,"","",Fls often 2 per stem; corona canary yellow
Ambell,1,W,Y,W.A. Watts,1913-03-30,none,none,"","","Fl. 98 mm wide; perianth segments white, tinged green"
Amber,2,W,Y,G.H. Engleheart,1901-03-30,none,AM 1901 *HC(c)  1927 ,‘Empress’,‘Ornatus’,"Fl. star-shaped, of thick substance; perianth segments ovate, blunt, greenish white, a little inflexed, with margins incurling at apex and sometimes recurved in lower half, irregular, overlapping at base only; the inner segments narrower and sometimes twisted; corona long and broad, rich yellow, sometimes flushed orange-amber, mouth more or less even, with rim obscurely crenate and slightly notched. Late"
Amber Rose,1,W,P,H.R. Bulman,,none,none,"","",""
Ambergate,2,O,O,D.B. Milne,1950-03-30,none,AM Haarlem  1961 ,Sdlg,‘Cornish Fire’,"Perianth segments broadly ovate, blunt, yellow-orange, with white mucro, spreading, faintly ribbed, with midrib more prominent, a little concave, with margins incurling at apex, overlapping half; the inner segments narrower, acute, less noticeably mucronate; corona short funnel-shaped, broad, ribbed, orange, with mouth straight and even, rim notched"
Amberley,2,Y,Y,Sir F.C. Stern,1944-03-30,none,PC 1947 AM(e)  1949 ,‘Saint Egwin’,‘Crocus’,"Fl. 117 mm wide; perianth segments broadly ovate, blunt, vivid yellow 9B, with slight white mucro, spreading, smooth, with midrib showing, overlapping one-third; the inner segments more narrowly ovate, somewhat twisted or with margins incurving; corona funnel-shaped, lightly ribbed, slightly darker in tone (12) than the perianth, with mouth straight and 6-lobed, lightly frilled, rim crenate"
Amboyna,1,W,Y,Barr & Sons,1929-03-30,none,none,"","","Perianth segments slightly twisted; corona ribbed, canary yellow, rim ruffled"
Ambrosia,2,Y,P,A.S. Brewster,1950-03-30,none,none,"","",""
