Species_name_Stace4,Family
Ranunculus bulbosus,Ranunculaceae
Ranunculus circinatus,Ranunculaceae
Ranunculus flammula,Ranunculaceae
Ranunculus fluitans,Ranunculaceae
Ranunculus hederaceus,Ranunculaceae
Ranunculus lingua,Ranunculaceae
Ranunculus omiophyllus,Ranunculaceae
Ranunculus ophioglossifolius,Ranunculaceae
Ranunculus paludosus,Ranunculaceae
Ranunculus parviflorus,Ranunculaceae
Ranunculus peltatus,Ranunculaceae
Ranunculus penicillatus,Ranunculaceae
Ranunculus repens,Ranunculaceae
Ranunculus reptans,Ranunculaceae
Ranunculus sardous,Ranunculaceae
Ranunculus sceleratus,Ranunculaceae
Ranunculus trichophyllus,Ranunculaceae
Ranunculus tripartitus,Ranunculaceae
Thalictrum alpinum,Ranunculaceae
Thalictrum flavum,Ranunculaceae
Thalictrum minus,Ranunculaceae
Trollius europaeus,Ranunculaceae
Buxus sempervirens,Buxaceae
Gunnera manicata,Gunneraceae
Gunnera tinctoria,Gunneraceae
Ribes alpinum,Grossulariaceae
Ribes rubrum,Grossulariaceae
Ribes spicatum,Grossulariaceae
Chrysosplenium alternifolium,Saxifragaceae
Chrysosplenium oppositifolium,Saxifragaceae
Micranthes nivalis,Saxifragaceae
Micranthes stellaris,Saxifragaceae
Saxifraga aizoides,Saxifragaceae
Saxifraga cernua,Saxifragaceae
Saxifraga cespitosa,Saxifragaceae
Saxifraga granulata,Saxifragaceae
Saxifraga hirculus,Saxifragaceae
Saxifraga hypnoides,Saxifragaceae
Saxifraga oppositifolia,Saxifragaceae
Saxifraga rivularis,Saxifragaceae
Saxifraga tridactylites,Saxifragaceae
Tolmiea menziesii,Saxifragaceae
Crassula aquatica,Crassulaceae
Crassula helmsii,Crassulaceae
Crassula tillaea,Crassulaceae
Hylotelephium telephium,Crassulaceae
Petrosedum forsterianum,Crassulaceae
Rhodolia rosea,Crassulaceae
Sedum acre,Crassulaceae
Sedum anglicum,Crassulaceae
Sedum villosum,Crassulaceae
Umbilicus rupestris,Crassulaceae
Myriophyllum alterniflorum,Haloragaceae
Myriophyllum aquaticum,Haloragaceae
Myriophyllum spicatum,Haloragaceae
Myriophyllum verticillatum,Haloragaceae
Anthyllis vulneraria,Fabaceae
Astragalus alpinus,Fabaceae
Astragalus danicus,Fabaceae
Astragalus glycyphyllos,Fabaceae
Cytisus scoparius,Fabaceae
Ervilia hirsuta,Fabaceae
Ervilia sylvatica,Fabaceae
Ervum gracile,Fabaceae
Ervum tetraspermum,Fabaceae
Genista anglica,Fabaceae
Genista pilosa,Fabaceae
Genista tinctoria,Fabaceae
Hippocrepis comosa,Fabaceae
Lathyrus aphaca,Fabaceae
Lathyrus japonicus,Fabaceae
Lathyrus linifolius,Fabaceae
Lathyrus nissolia,Fabaceae
Lathyrus palustris,Fabaceae
Lathyrus pratensis,Fabaceae
Lathyrus sylvestris,Fabaceae
Lotus angustissimus,Fabaceae
Lotus corniculatus,Fabaceae
Lotus pedunculatus,Fabaceae
Lotus subbiflorus,Fabaceae
Lotus tenuis,Fabaceae
Lupinus arboreus,Fabaceae
Lupinus nootkatensis,Fabaceae
Medicago arabica,Fabaceae
Medicago lupulina,Fabaceae
Medicago minima,Fabaceae
Medicago polymorpha,Fabaceae
Medicago sativa,Fabaceae
Melilotus altissimus,Fabaceae
Onobrychis viciifolia,Fabaceae
Ononis reclinata,Fabaceae
Ononis repens,Fabaceae
Ononis spinosa,Fabaceae
Ornithopus perpusillus,Fabaceae
Ornithopus pinnatus,Fabaceae
Oxytropis campestris,Fabaceae
Oxytropis halleri,Fabaceae
Robinia pseudoacacia,Fabaceae
Trifolium arvense,Fabaceae
Trifolium bocconei,Fabaceae
Trifolium campestre,Fabaceae
Trifolium dubium,Fabaceae
Trifolium fragiferum,Fabaceae
Trifolium glomeratum,Fabaceae
Trifolium medium,Fabaceae
Trifolium micranthum,Fabaceae
Trifolium occidentale,Fabaceae
Trifolium ochroleucon,Fabaceae
Trifolium ornithopodioides,Fabaceae
Trifolium pratense,Fabaceae
Trifolium repens,Fabaceae
Trifolium scabrum,Fabaceae
Trifolium squamosum,Fabaceae
Trifolium striatum,Fabaceae
Trifolium strictum,Fabaceae
Trifolium subterraneum,Fabaceae
Trifolium suffocatum,Fabaceae
Ulex europaeus,Fabaceae
Ulex gallii,Fabaceae
Ulex minor,Fabaceae
Vicia bithynica,Fabaceae
Vicia cracca,Fabaceae
Vicia lathyroides,Fabaceae
Vicia lutea,Fabaceae
Vicia orobus,Fabaceae
Vicia sativa,Fabaceae
Vicia sepium,Fabaceae
Polygala amarella,Polygalaceae
Polygala calcarea,Polygalaceae
Polygala serpyllifolia,Polygalaceae
Polygala vulgaris,Polygalaceae
Acaena novae-zelandiae,Rosaceae
Agrimonia eupatoria,Rosaceae
Agrimonia procera,Rosaceae
Alchemilla acutiloba,Rosaceae
Alchemilla alpina,Rosaceae
Alchemilla glabra,Rosaceae
Alchemilla glaucescens,Rosaceae
Alchemilla glomerulans,Rosaceae
Alchemilla micans,Rosaceae
Alchemilla minima,Rosaceae
Alchemilla monticola,Rosaceae
Alchemilla subcrenata,Rosaceae
Alchemilla wichurae,Rosaceae
Alchemilla xanthochlora,Rosaceae
Amelanchier lamarckii,Rosaceae
Aphanes arvensis,Rosaceae
Aphanes australis,Rosaceae
Comarum palustre,Rosaceae
Cotoneaster horizontalis,Rosaceae
Cotoneaster integrifolius,Rosaceae
Cotoneaster simonsii,Rosaceae
Crataegus laevigata,Rosaceae
Crataegus monogyna,Rosaceae
Dasiphora fruticosa,Rosaceae
Dryas octopetala,Rosaceae
Filipendula ulmaria,Rosaceae
Filipendula vulgaris,Rosaceae
Fragaria vesca,Rosaceae
Geum rivale,Rosaceae
Geum urbanum,Rosaceae
Malus sylvestris,Rosaceae
Mespilus germanica,Rosaceae
Potentilla anglica,Rosaceae
Potentilla anserina,Rosaceae
Potentilla argentea,Rosaceae
Potentilla crantzii,Rosaceae
Potentilla erecta,Rosaceae
Potentilla reptans,Rosaceae
Potentilla rupestris,Rosaceae
Potentilla sterilis,Rosaceae
Potentilla verna,Rosaceae
Prunus avium,Rosaceae
Prunus cerasus,Rosaceae
Prunus domestica,Rosaceae
Prunus laurocerasus,Rosaceae
Prunus lusitanica,Rosaceae
Prunus padus,Rosaceae
Prunus serotina,Rosaceae
Prunus spinosa,Rosaceae
Pyrus communis,Rosaceae
Pyrus cordata,Rosaceae
Rosa agrestis,Rosaceae
Rosa arvensis,Rosaceae
Rosa canina,Rosaceae
Rosa micrantha,Rosaceae
Rosa mollis,Rosaceae
Rosa rubiginosa,Rosaceae
Rosa rugosa,Rosaceae
Rosa sherardii,Rosaceae
Rosa spinosissima,Rosaceae
Rosa stylosa,Rosaceae
Rosa tomentella,Rosaceae
Rosa tomentosa,Rosaceae
Rubus arcticus,Rosaceae
Rubus caesius,Rosaceae
Rubus chamaemorus,Rosaceae
Rubus fruticosus,Rosaceae
Rubus idaeus,Rosaceae
Rubus saxatilis,Rosaceae
Sanguisorba officinalis,Rosaceae
Sibbaldia procumbens,Rosaceae
Sorbus admonitor,Rosaceae
Sorbus anglica,Rosaceae
Sorbus aria,Rosaceae
Sorbus arranensis,Rosaceae
Sorbus arvonicola,Rosaceae
Sorbus aucuparia,Rosaceae
Sorbus bristoliensis,Rosaceae
Sorbus cambrensis,Rosaceae
Sorbus cheddarensis,Rosaceae
Sorbus cuneifolia,Rosaceae
Sorbus devoniensis,Rosaceae
Sorbus domestica,Rosaceae
Sorbus eminens,Rosaceae
Sorbus eminentiformis,Rosaceae
Sorbus eminentoides,Rosaceae
Sorbus evansii,Rosaceae
Sorbus greenii,Rosaceae
Sorbus herefordensis,Rosaceae
Sorbus lancastriensis,Rosaceae
Sorbus leighensis,Rosaceae
Sorbus leptophylla,Rosaceae
Sorbus leyana,Rosaceae
Sorbus margaretae,Rosaceae
Sorbus minima,Rosaceae
Sorbus parviloba,Rosaceae
Sorbus porrigentiformis,Rosaceae
Sorbus pseudofennica,Rosaceae
Sorbus pseudomeinichii,Rosaceae
Sorbus richii,Rosaceae
Sorbus rupicola,Rosaceae
Sorbus rupicoloides,Rosaceae
Sorbus saxicola,Rosaceae
Sorbus scannelliana,Rosaceae
Sorbus spectans,Rosaceae
Sorbus stenophylla,Rosaceae
Sorbus stirtoniana,Rosaceae
Sorbus subcuneata,Rosaceae
Sorbus torminalis,Rosaceae
Sorbus vexans,Rosaceae
Sorbus whiteana,Rosaceae
Sorbus wilmottiana,Rosaceae
Spiraea douglasii,Rosaceae
Spiraea salicifolia,Rosaceae
Hippophae rhamnoides,Elaeagnaceae
Frangula alnus,Rhamnaceae
Rhamnus cathartica,Rhamnaceae
Ulmus glabra,Ulmaceae
Ulmus minor,Ulmaceae
Ulmus plotii,Ulmaceae
Ulmus procera,Ulmaceae
Humulus lupulus,Cannabaceae
Parietaria judaica,Urticaceae
Urtica dioica,Urticaceae
Urtica urens,Urticaceae
Castanea sativa,Fagaceae
Fagus sylvatica,Fagaceae
Quercus cerris,Fagaceae
Quercus ilex,Fagaceae
Quercus petraea,Fagaceae
Quercus robur,Fagaceae
Myrica gale,Myricaceae
Juglans regia,Juglandaceae
Alnus glutinosa,Betulaceae
Alnus incana,Betulaceae
Betula nana,Betulaceae
Betula pendula,Betulaceae
Betula pubescens,Betulaceae
Carpinus betulus,Betulaceae
Corylus avellana,Betulaceae
Bryonia dioica,Cucurbitaceae
Euonymus europaeus,Celastraceae
Parnassia palustris,Celastraceae
Oxalis acetosella,Oxalidaceae
Hypericum androsaemum,Hypericaceae
Hypericum elodes,Hypericaceae
Hypericum hirsutum,Hypericaceae
Hypericum humifusum,Hypericaceae
Hypericum linariifolium,Hypericaceae
Hypericum maculatum,Hypericaceae
Hypericum montanum,Hypericaceae
Hypericum perforatum,Hypericaceae
Hypericum pulchrum,Hypericaceae
Hypericum tetrapterum,Hypericaceae
Hypericum undulatum,Hypericaceae
Elatine hexandra,Elatinaceae
Elatine hydropiper,Elatinaceae
Viola arvensis,Violaceae
Viola canina,Violaceae
Viola hirta,Violaceae
Viola kitaibeliana,Violaceae
Viola lactea,Violaceae
Viola lutea,Violaceae
Viola odorata,Violaceae
Viola palustris,Violaceae
Viola reichenbachiana,Violaceae
Viola riviniana,Violaceae
Viola rupestris,Violaceae
Viola stagnina,Violaceae
Viola tricolor,Violaceae
Populus tremula,Salicaceae
Salix alba,Salicaceae
Salix arbuscula,Salicaceae
Salix aurita,Salicaceae
Salix caprea,Salicaceae
Salix cinerea,Salicaceae
Salix euxina,Salicaceae
Salix herbacea,Salicaceae
Salix lanata,Salicaceae
Salix lapponum,Salicaceae
Salix myrsinifolia,Salicaceae
Salix myrsinites,Salicaceae
Salix pentandra,Salicaceae
Salix phylicifolia,Salicaceae
Salix purpurea,Salicaceae
Salix repens,Salicaceae
Salix reticulata,Salicaceae
Salix triandra,Salicaceae
Salix viminalis,Salicaceae
Euphorbia amygdaloides,Euphorbiaceae
Euphorbia exigua,Euphorbiaceae
Euphorbia helioscopia,Euphorbiaceae
Euphorbia lathyris,Euphorbiaceae
Euphorbia paralias,Euphorbiaceae
Euphorbia peplis,Euphorbiaceae
Euphorbia peplus,Euphorbiaceae
Euphorbia platyphyllos,Euphorbiaceae
Euphorbia portlandica,Euphorbiaceae
Euphorbia stricta,Euphorbiaceae
Mercurialis annua,Euphorbiaceae
Mercurialis perennis,Euphorbiaceae
Linum bienne,Linaceae
Linum catharticum,Linaceae
Linum perenne,Linaceae
Linum radiola,Linaceae
Erodium aethiopicum,Geraniaceae
Erodium cicutarium,Geraniaceae
Erodium maritimum,Geraniaceae
Erodium moschatum,Geraniaceae
Geranium columbinum,Geraniaceae
Geranium dissectum,Geraniaceae
Geranium lucidum,Geraniaceae
Geranium molle,Geraniaceae
Geranium pratense,Geraniaceae
Geranium purpureum,Geraniaceae
Geranium pusillum,Geraniaceae
Geranium robertianum,Geraniaceae
Geranium rotundifolium,Geraniaceae
Geranium sanguineum,Geraniaceae
Geranium sylvaticum,Geraniaceae
Lythrum hyssopifolia,Lythraceae
Lythrum portula,Lythraceae
Lythrum salicaria,Lythraceae
Chamaenerion angustifolium,Onagraceae
Circaea alpina,Onagraceae
Circaea lutetiana,Onagraceae
Epilobium alsinifolium,Onagraceae
Epilobium anagallidifolium,Onagraceae
Epilobium hirsutum,Onagraceae
Epilobium lanceolatum,Onagraceae
Epilobium montanum,Onagraceae
Epilobium obscurum,Onagraceae
Epilobium palustre,Onagraceae
Epilobium parviflorum,Onagraceae
Epilobium roseum,Onagraceae
Epilobium tetragonum,Onagraceae
Fuchsia magellanica,Onagraceae
Ludwigia grandiflora,Onagraceae
Ludwigia palustris,Onagraceae
Ludwigia peploides,Onagraceae
Acer campestre,Sapindaceae
Acer pseudoplatanus,Sapindaceae
Aesculus hippocastanum,Sapindaceae
Ailanthus altissima,Simaroubaceae
Althaea officinalis,Malvaceae
Malva arborea,Malvaceae
Malva moschata,Malvaceae
Malva neglecta,Malvaceae
Malva sylvestris,Malvaceae
Tilia cordata,Malvaceae
Tilia platyphyllos,Malvaceae
Daphne laureola,Thymelaeaceae
Daphne mezereum,Thymelaeaceae
Helianthemum apenninum,Cistaceae
Helianthemum nummularium,Cistaceae
Helianthemum oelandicum,Cistaceae
Tuberaria guttata,Cistaceae
Reseda lutea,Resedaceae
Reseda luteola,Resedaceae
Alliaria petiolata,Brassicaceae
Arabidopsis petraea,Brassicaceae
Arabidopsis thaliana,Brassicaceae
Arabis alpina,Brassicaceae
Arabis hirsuta,Brassicaceae
Arabis scabra,Brassicaceae
Armoracia rusticana,Brassicaceae
Barbarea vulgaris,Brassicaceae
Brassica nigra,Brassicaceae
Brassica oleracea,Brassicaceae
Brassica rapa,Brassicaceae
Cakile maritima,Brassicaceae
Camelina sativa,Brassicaceae
Capsella bursa-pastoris,Brassicaceae
Cardamine amara,Brassicaceae
Cardamine bulbifera,Brassicaceae
Cardamine flexuosa,Brassicaceae
Cardamine hirsuta,Brassicaceae
Cardamine impatiens,Brassicaceae
Cardamine pratensis,Brassicaceae
Cardamine raphanifolia,Brassicaceae
Cochlearia anglica,Brassicaceae
Cochlearia danica,Brassicaceae
Cochlearia micacea,Brassicaceae
Cochlearia officinalis,Brassicaceae
Cochlearia officinalis,Brassicaceae
Cochlearia pyrenaica,Brassicaceae
Coincya wrightii,Brassicaceae
Crambe maritima,Brassicaceae
Descurainia sophia,Brassicaceae
Diplotaxis tenuifolia,Brassicaceae
Draba aizoides,Brassicaceae
Draba incana,Brassicaceae
Draba norvegica,Brassicaceae
Drabella muralis,Brassicaceae
Erophila glabrescens,Brassicaceae
Erophila majuscula,Brassicaceae
Erophila verna,Brassicaceae
Erysimum cheiranthoides,Brassicaceae
Erysimum cheiri,Brassicaceae
Hornungia petraea,Brassicaceae
Iberis amara,Brassicaceae
Isatis tinctoria,Brassicaceae
Lepidium campestre,Brassicaceae
Lepidium coronopus,Brassicaceae
Lepidium heterophyllum,Brassicaceae
Lepidium latifolium,Brassicaceae
Lepidium ruderale,Brassicaceae
Matthiola sinuata,Brassicaceae
Microthlaspi perfoliatum,Brassicaceae
Nasturtium microphyllum,Brassicaceae
Nasturtium officinale,Brassicaceae
Noccaea caerulescens,Brassicaceae
Rorippa amphibia,Brassicaceae
Rorippa islandica,Brassicaceae
Rorippa palustris,Brassicaceae
Rorippa sylvestris,Brassicaceae
Sinapis alba,Brassicaceae
Sinapis arvensis,Brassicaceae
Sisymbrium officinale,Brassicaceae
Subularia aquatica,Brassicaceae
Teesdalia nudicaulis,Brassicaceae
Thlaspi arvense,Brassicaceae
Thlaspi caerulescens,Brassicaceae
Thlaspi perfoliatum,Brassicaceae
Turritis glabra,Brassicaceae
Thesium humifusum,Santalaceae
Viscum album,Santalaceae
Frankenia laevis,Frankeniaceae
Armeria maritima,Plumbaginaceae
Limonium auriculae-ursifolium,Plumbaginaceae
Limonium bellidifolium,Plumbaginaceae
Limonium binervosum,Plumbaginaceae
Limonium dodartiforme,Plumbaginaceae
Limonium humile,Plumbaginaceae
Limonium loganicum,Plumbaginaceae
Limonium normannicum,Plumbaginaceae
Limonium paradoxum,Plumbaginaceae
Limonium parvum,Plumbaginaceae
Limonium transwallianum,Plumbaginaceae
Limonium vulgare,Plumbaginaceae
Bistorta officinalis,Polygonaceae
Bistorta vivipara,Polygonaceae
Fallopia baldschuanica,Polygonaceae
Fallopia convolvulus,Polygonaceae
Fallopia dumetorum,Polygonaceae
Fallopia japonica,Polygonaceae
Fallopia sachalinensis,Polygonaceae
Koenigia islandica,Polygonaceae
Muehlenbeckia complexa,Polygonaceae
Oxyria digyna,Polygonaceae
Persicaria amphibia,Polygonaceae
Persicaria hydropiper,Polygonaceae
Persicaria lapathifolia,Polygonaceae
Persicaria maculosa,Polygonaceae
Persicaria minor,Polygonaceae
Persicaria mitis,Polygonaceae
Persicaria wallichii,Polygonaceae
Polygonum aviculare,Polygonaceae
Polygonum boreale,Polygonaceae
Polygonum depressum,Polygonaceae
Polygonum maritimum,Polygonaceae
Polygonum oxyspermum,Polygonaceae
Polygonum rurivagum,Polygonaceae
Rumex acetosa,Polygonaceae
Rumex acetosella,Polygonaceae
Rumex alpinus,Polygonaceae
Rumex aquaticus,Polygonaceae
Rumex conglomeratus,Polygonaceae
Rumex crispus,Polygonaceae
Rumex hydrolapathum,Polygonaceae
Rumex longifolius,Polygonaceae
Rumex maritimus,Polygonaceae
Rumex obtusifolius,Polygonaceae
Rumex palustris,Polygonaceae
Rumex pulcher,Polygonaceae
Rumex rupestris,Polygonaceae
Rumex sanguineus,Polygonaceae
Drosera anglica,Droseraceae
Drosera intermedia,Droseraceae
Drosera rotundifolia,Droseraceae
Agrostemma githago,Caryophyllaceae
Arenaria ciliata,Caryophyllaceae
Arenaria leptoclados,Caryophyllaceae
Arenaria serpyllifolia,Caryophyllaceae
Cerastium alpinum,Caryophyllaceae
Cerastium arvense,Caryophyllaceae
Cerastium cerastoides,Caryophyllaceae
Cerastium diffusum,Caryophyllaceae
Cerastium fontanum,Caryophyllaceae
Cerastium glomeratum,Caryophyllaceae
Cerastium nigrescens,Caryophyllaceae
Cerastium pumilum,Caryophyllaceae
Cerastium semidecandrum,Caryophyllaceae
Cherleria sedoides,Caryophyllaceae
Corrigiola litoralis,Caryophyllaceae
Dianthus armeria,Caryophyllaceae
Dianthus deltoides,Caryophyllaceae
Dianthus gratianopolitanus,Caryophyllaceae
Herniaria ciliolata,Caryophyllaceae
Herniaria glabra,Caryophyllaceae
Honckenya peploides,Caryophyllaceae
Illecebrum verticillatum,Caryophyllaceae
Minuartia recurva,Caryophyllaceae
Moehringia trinervia,Caryophyllaceae
Moenchia erecta,Caryophyllaceae
Petrorhagia nanteuilii,Caryophyllaceae
Petrorhagia prolifera,Caryophyllaceae
Polycarpon tetraphyllum,Caryophyllaceae
Sabulina rubella,Caryophyllaceae
Sabulina stricta,Caryophyllaceae
Sabulina tenuifolia,Caryophyllaceae
Sabulina verna,Caryophyllaceae
Sagina apetala,Caryophyllaceae
Sagina filicaulis,Caryophyllaceae
Sagina maritima,Caryophyllaceae
Sagina nivalis,Caryophyllaceae
Sagina nodosa,Caryophyllaceae
Sagina procumbens,Caryophyllaceae
Sagina saginoides,Caryophyllaceae
Sagina subulata,Caryophyllaceae
Saponaria officinalis,Caryophyllaceae
Scleranthus annuus,Caryophyllaceae
Silene acaulis,Caryophyllaceae
Silene conica,Caryophyllaceae
Silene dioica,Caryophyllaceae
Silene flos-cuculi,Caryophyllaceae
Silene gallica,Caryophyllaceae
Silene latifolia,Caryophyllaceae
Silene noctiflora,Caryophyllaceae
Silene nutans,Caryophyllaceae
Silene otites,Caryophyllaceae
Silene suecica,Caryophyllaceae
Silene uniflora,Caryophyllaceae
Silene viscaria,Caryophyllaceae
Silene vulgaris,Caryophyllaceae
Spergularia marina,Caryophyllaceae
Spergularia media,Caryophyllaceae
Spergularia rubra,Caryophyllaceae
Spergularia rupicola,Caryophyllaceae
Stellaria alsine,Caryophyllaceae
Stellaria aquatica,Caryophyllaceae
Stellaria graminea,Caryophyllaceae
Stellaria holostea,Caryophyllaceae
Stellaria media,Caryophyllaceae
Stellaria neglecta,Caryophyllaceae
Stellaria nemorum,Caryophyllaceae
Stellaria pallida,Caryophyllaceae
Stellaria palustris,Caryophyllaceae
Stellaria uliginosa,Caryophyllaceae
Atriplex glabriuscula,Amaranthaceae
Atriplex laciniata,Amaranthaceae
Atriplex littoralis,Amaranthaceae
Atriplex longipes,Amaranthaceae
Atriplex patula,Amaranthaceae
Atriplex pedunculata,Amaranthaceae
Atriplex portulacoides,Amaranthaceae
Atriplex praecox,Amaranthaceae
Atriplex prostrata,Amaranthaceae
Blitum bonus-henricus,Amaranthaceae
Chenopodiastrum hybridum,Amaranthaceae
Chenopodiastrum murale,Amaranthaceae
Chenopodium album,Amaranthaceae
Chenopodium ficifolium,Amaranthaceae
Chenopodium vulvaria,Amaranthaceae
Lipandra polysperma,Amaranthaceae
Oxybasis chenopodioides,Amaranthaceae
Oxybasis glauca,Amaranthaceae
Oxybasis rubra,Amaranthaceae
Oxybasis urbica,Amaranthaceae
Salicornia agg,Amaranthaceae
Salicornia disarticulata,Amaranthaceae
Salicornia dolichostachya,Amaranthaceae
Salicornia emerici,Amaranthaceae
Salicornia europaea,Amaranthaceae
Salicornia fragilis,Amaranthaceae
Salicornia nitens,Amaranthaceae
Salicornia obscura,Amaranthaceae
Salicornia ramosissima,Amaranthaceae
Sarcocornia perennis,Amaranthaceae
Suaeda maritima,Amaranthaceae
Suaeda vera,Amaranthaceae
Carpobrotus edulis,Aizoaceae
Disphyma crassifolium,Aizoaceae
Claytonia perfoliata,Montiaceae
Claytonia sibirica,Montiaceae
Montia fontana,Montiaceae
Cornus sanguinea,Cornaceae
Cornus sericea,Cornaceae
Cornus suecica,Cornaceae
Impatiens glandulifera,Balsaminaceae
Impatiens noli-tangere,Balsaminaceae
Polemonium caeruleum,Polemoniaceae
Hottonia palustris,Primulaceae
Lysimachia arvensis,Primulaceae
Lysimachia europaea,Primulaceae
Lysimachia maritima,Primulaceae
Lysimachia minima,Primulaceae
Lysimachia nemorum,Primulaceae
Lysimachia nummularia,Primulaceae
Lysimachia tenella,Primulaceae
Lysimachia thyrsiflora,Primulaceae
Lysimachia vulgaris,Primulaceae
Primula elatior,Primulaceae
Primula farinosa,Primulaceae
Primula scotica,Primulaceae
Primula veris,Primulaceae
Primula vulgaris,Primulaceae
Samolus valerandi,Primulaceae
Diapensia lapponica,Diapensiaceae
Sarracenia purpurea,Sarraceniaceae
Andromeda polifolia,Ericaceae
Arctostaphylos alpinus,Ericaceae
Arctostaphylos uva-ursi,Ericaceae
Calluna vulgaris,Ericaceae
Empetrum nigrum,Ericaceae
Erica ciliaris,Ericaceae
Erica cinerea,Ericaceae
Erica tetralix,Ericaceae
Erica vagans,Ericaceae
Gaultheria shallon,Ericaceae
Hypopitys monotropa,Ericaceae
