Binomial, NCBI taxon id, Order, Family, NCBI lineage, Repeat %, Heterozygosity %
Aglais io,171585,Lepidoptera,Nymphalidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Nymphalidae; Nymphalinae; Inachis;,NOT_COLLECTED,WHOLE_ORGANISM
Aglais io,171585,Lepidoptera,Nymphalidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Nymphalidae; Nymphalinae; Inachis;,19.60,0.69
Aglais io,171585,Lepidoptera,Nymphalidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Nymphalidae; Nymphalinae; Inachis;,24.95,0.70
Aglais urticae,111881,Lepidoptera,Nymphalidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Nymphalidae; Nymphalinae; Aglais;,FEMALE,WHOLE_ORGANISM
Aglais urticae,111881,Lepidoptera,Nymphalidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Nymphalidae; Nymphalinae; Aglais;,NOT_COLLECTED,WHOLE_ORGANISM
Aglais urticae,111881,Lepidoptera,Nymphalidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Nymphalidae; Nymphalinae; Aglais;,NOT_COLLECTED,WHOLE_ORGANISM
Aglais urticae,111881,Lepidoptera,Nymphalidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Nymphalidae; Nymphalinae; Aglais;,25.34,2.66
Aglais urticae,111881,Lepidoptera,Nymphalidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Nymphalidae; Nymphalinae; Aglais;,0.00,-100.00
Aglais urticae,111881,Lepidoptera,Nymphalidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Nymphalidae; Nymphalinae; Aglais;,0.00,-100.00
Agonopterix ocellana,1594225,Lepidoptera,Depressariidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Gelechioidea; Depressariidae; Depressariinae; Agonopterix;,NOT_COLLECTED,WHOLE_ORGANISM
Agonopterix ocellana,1594225,Lepidoptera,Depressariidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Gelechioidea; Depressariidae; Depressariinae; Agonopterix;,0.00,-100.00
Agonopterix ocellana,1594225,Lepidoptera,Depressariidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Gelechioidea; Depressariidae; Depressariinae; Agonopterix;,59.98,0.58
Agonopterix ocellana,1594225,Lepidoptera,Depressariidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Gelechioidea; Depressariidae; Depressariinae; Agonopterix;,69.85,0.75
Alopecosa pulverulenta,75003,Araneae,Lycosidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Chelicerata; Arachnida; Araneae; Araneomorphae; Entelegynae; Lycosoidea; Lycosidae; Alopecosa;,FEMALE,CEPHALOTHORAX
Alopecosa pulverulenta,75003,Araneae,Lycosidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Chelicerata; Arachnida; Araneae; Araneomorphae; Entelegynae; Lycosoidea; Lycosidae; Alopecosa;,FEMALE,ABDOMEN
Amaurobius similis,389027,Chelicerata,Amaurobiidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Chelicerata; Arachnida; Araneae; Araneomorphae; Entelegynae; Amaurobiidae; Amaurobius;,NOT_COLLECTED,CEPHALOTHORAX
Amaurobius similis,389027,Chelicerata,Amaurobiidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Chelicerata; Arachnida; Araneae; Araneomorphae; Entelegynae; Amaurobiidae; Amaurobius;,NOT_COLLECTED,ABDOMEN
Amphipyra tragopoginis,689058,Lepidoptera,Noctuidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Amphipyrinae; Amphipyra;,NOT_COLLECTED,HEAD | THORAX
Amphipyra tragopoginis,689058,Lepidoptera,Noctuidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Amphipyrinae; Amphipyra;,NOT_COLLECTED,ABDOMEN
Amphipyra tragopoginis,689058,Lepidoptera,Noctuidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Amphipyrinae; Amphipyra;,NOT_COLLECTED,HEAD | THORAX
Amphipyra tragopoginis,689058,Lepidoptera,Noctuidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Amphipyrinae; Amphipyra;,NOT_COLLECTED,ABDOMEN
Amphipyra tragopoginis,689058,Lepidoptera,Noctuidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Amphipyrinae; Amphipyra;,0.00,-100.00
Amphipyra tragopoginis,689058,Lepidoptera,Noctuidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Noctuoidea; Noctuidae; Amphipyrinae; Amphipyra;,0.00,-100.00
Ancylus fluviatilis,153587,Hygrophila,Planorbidae,Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Mollusca; Gastropoda; Heterobranchia; Euthyneura; Panpulmonata; Hygrophila; Lymnaeoidea; Ancylidae; Ancylus;,NOT_COLLECTED,WHOLE_ORGANISM
Ancylus fluviatilis,153587,Hygrophila,Planorbidae,Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Mollusca; Gastropoda; Heterobranchia; Euthyneura; Panpulmonata; Hygrophila; Lymnaeoidea; Ancylidae; Ancylus;,78.63,4.07
Ancylus fluviatilis,153587,Hygrophila,Planorbidae,Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Mollusca; Gastropoda; Heterobranchia; Euthyneura; Panpulmonata; Hygrophila; Lymnaeoidea; Ancylidae; Ancylus;,46.70,0.94
Ancylus fluviatilis,153587,Hygrophila,Planorbidae,Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Mollusca; Gastropoda; Heterobranchia; Euthyneura; Panpulmonata; Hygrophila; Lymnaeoidea; Ancylidae; Ancylus;,55.89,1.27
Andrena cineraria,465493,Hymenoptera,Andrenidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Hymenoptera; Apocrita; Aculeata; Apoidea; Andrenidae; Andreninae; Andrena; Melandrena;,FEMALE,HEAD | THORAX
Andrena cineraria,465493,Hymenoptera,Andrenidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Hymenoptera; Apocrita; Aculeata; Apoidea; Andrenidae; Andreninae; Andrena; Melandrena;,FEMALE,ABDOMEN
Andrena haemorrhoa,444401,Hymenoptera,Andrenidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Hymenoptera; Apocrita; Aculeata; Apoidea; Andrenidae; Andreninae; Andrena; Taeniandrena;,FEMALE,HEAD | THORAX
Andrena haemorrhoa,444401,Hymenoptera,Andrenidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Hymenoptera; Apocrita; Aculeata; Apoidea; Andrenidae; Andreninae; Andrena; Taeniandrena;,FEMALE,ABDOMEN
Andrena haemorrhoa,444401,Hymenoptera,Andrenidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Hymenoptera; Apocrita; Aculeata; Apoidea; Andrenidae; Andreninae; Andrena; Taeniandrena;,25.40,0.32
Andrena haemorrhoa,444401,Hymenoptera,Andrenidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Hymenoptera; Apocrita; Aculeata; Apoidea; Andrenidae; Andreninae; Andrena; Taeniandrena;,28.76,0.34
Andrena haemorrhoa,444401,Hymenoptera,Andrenidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Hymenoptera; Apocrita; Aculeata; Apoidea; Andrenidae; Andreninae; Andrena; Taeniandrena;,0.00,-100.00
Andrena haemorrhoa,444401,Hymenoptera,Andrenidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Hymenoptera; Apocrita; Aculeata; Apoidea; Andrenidae; Andreninae; Andrena; Taeniandrena;,0.00,-100.00
Anisus vortex,271030,Hygrophila,Planorbidae,Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Mollusca; Gastropoda; Heterobranchia; Euthyneura; Panpulmonata; Hygrophila; Lymnaeoidea; Planorbidae; Anisus;,NOT_COLLECTED,WHOLE_ORGANISM
Anisus vortex,271030,Hygrophila,Planorbidae,Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Mollusca; Gastropoda; Heterobranchia; Euthyneura; Panpulmonata; Hygrophila; Lymnaeoidea; Planorbidae; Anisus;,NOT_COLLECTED,WHOLE_ORGANISM
Anisus vortex,271030,Hygrophila,Planorbidae,Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Mollusca; Gastropoda; Heterobranchia; Euthyneura; Panpulmonata; Hygrophila; Lymnaeoidea; Planorbidae; Anisus;,NOT_COLLECTED,WHOLE_ORGANISM
Anisus vortex,271030,Hygrophila,Planorbidae,Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Mollusca; Gastropoda; Heterobranchia; Euthyneura; Panpulmonata; Hygrophila; Lymnaeoidea; Planorbidae; Anisus;,NOT_COLLECTED,WHOLE_ORGANISM
Anomoia purmunda,103414,Diptera,Tephritidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Tephritoidea; Tephritidae; Anomoia;,FEMALE,WHOLE_ORGANISM
Anomoia purmunda,103414,Diptera,Tephritidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Tephritoidea; Tephritidae; Anomoia;,46.74,2.20
Anomoia purmunda,103414,Diptera,Tephritidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Tephritoidea; Tephritidae; Anomoia;,28.00,1.61
Anomoia purmunda,103414,Diptera,Tephritidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Diptera; Brachycera; Muscomorpha; Tephritoidea; Tephritidae; Anomoia;,35.98,1.98
Anthocharis cardamines,227532,Lepidoptera,Pieridae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Pieridae; Pierinae; Anthocharis;,MALE,WHOLE_ORGANISM
Anthocharis cardamines,227532,Lepidoptera,Pieridae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Pieridae; Pierinae; Anthocharis;,MALE,WHOLE_ORGANISM
Anthocharis cardamines,227532,Lepidoptera,Pieridae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Pieridae; Pierinae; Anthocharis;,MALE,WHOLE_ORGANISM
Anthocharis cardamines,227532,Lepidoptera,Pieridae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Pieridae; Pierinae; Anthocharis;,MALE,WHOLE_ORGANISM
Anthocharis cardamines,227532,Lepidoptera,Pieridae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Pieridae; Pierinae; Anthocharis;,FEMALE,WHOLE_ORGANISM
Anthocharis cardamines,227532,Lepidoptera,Pieridae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Pieridae; Pierinae; Anthocharis;,36.52,2.81
Anthophora furcata,156283,Hymenoptera,Apidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Hymenoptera; Apocrita; Aculeata; Apoidea; Apidae; Anthophora;,MALE,HEAD | THORAX
Anthophora furcata,156283,Hymenoptera,Apidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Hymenoptera; Apocrita; Aculeata; Apoidea; Apidae; Anthophora;,MALE,ABDOMEN
Anthophora furcata,156283,Hymenoptera,Apidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Hymenoptera; Apocrita; Aculeata; Apoidea; Apidae; Anthophora;,0.00,-100.00
Anthophora furcata,156283,Hymenoptera,Apidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Hymenoptera; Apocrita; Aculeata; Apoidea; Apidae; Anthophora;,0.00,-100.00
Apatura iris,191396,Lepidoptera,Nymphalidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Nymphalidae; Apaturinae; Apatura;,NOT_COLLECTED,WHOLE_ORGANISM
Apatura iris,191396,Lepidoptera,Nymphalidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Nymphalidae; Apaturinae; Apatura;,NOT_COLLECTED,WHOLE_ORGANISM
Apatura iris,191396,Lepidoptera,Nymphalidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Nymphalidae; Apaturinae; Apatura;,20.33,0.44
Apatura iris,191396,Lepidoptera,Nymphalidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Nymphalidae; Apaturinae; Apatura;,27.31,0.48
Aphantopus hyperantus,111886,Lepidoptera,Nymphalidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Nymphalidae; Satyrinae; Satyrini; Maniolina; Aphantopus;,MALE,WHOLE_ORGANISM
Aphantopus hyperantus,111886,Lepidoptera,Nymphalidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Nymphalidae; Satyrinae; Satyrini; Maniolina; Aphantopus;,MALE,WHOLE_ORGANISM
Aphantopus hyperantus,111886,Lepidoptera,Nymphalidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Nymphalidae; Satyrinae; Satyrini; Maniolina; Aphantopus;,NOT_COLLECTED,WHOLE_ORGANISM
Aphantopus hyperantus,111886,Lepidoptera,Nymphalidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Nymphalidae; Satyrinae; Satyrini; Maniolina; Aphantopus;,NOT_COLLECTED,WHOLE_ORGANISM
Aphelocheirus aestivalis,280209,Hemiptera,Aphelocheiridae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Paraneoptera; Hemiptera; Heteroptera; Panheteroptera; Nepomorpha; Aphelocheiridae; Aphelocheirus;,NOT_COLLECTED,WHOLE_ORGANISM
Aphelocheirus aestivalis,280209,Hemiptera,Aphelocheiridae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Paraneoptera; Hemiptera; Heteroptera; Panheteroptera; Nepomorpha; Aphelocheiridae; Aphelocheirus;,NOT_COLLECTED,WHOLE_ORGANISM
Aphelocheirus aestivalis,280209,Hemiptera,Aphelocheiridae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Paraneoptera; Hemiptera; Heteroptera; Panheteroptera; Nepomorpha; Aphelocheiridae; Aphelocheirus;,0.00,-100.00
Aphelocheirus aestivalis,280209,Hemiptera,Aphelocheiridae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Paraneoptera; Hemiptera; Heteroptera; Panheteroptera; Nepomorpha; Aphelocheiridae; Aphelocheirus;,0.00,-100.00
Aphodius fossor,207151,Coleoptera,Scarabaeidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Coleoptera; Polyphaga; Scarabaeiformia; Scarabaeidae; Aphodiinae; Aphodius; Teuchestes;,NOT_COLLECTED,ABDOMEN
Aphodius fossor,207151,Coleoptera,Scarabaeidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Coleoptera; Polyphaga; Scarabaeiformia; Scarabaeidae; Aphodiinae; Aphodius; Teuchestes;,NOT_COLLECTED,HEAD | THORAX
Apoderus coryli,201766,Coleoptera,Attelabidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Coleoptera; Polyphaga; Cucujiformia; Attelabidae; Apoderinae; Apoderus;,NOT_COLLECTED,WHOLE_ORGANISM
Apoderus coryli,201766,Coleoptera,Attelabidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Coleoptera; Polyphaga; Cucujiformia; Attelabidae; Apoderinae; Apoderus;,0.00,-100.00
Apoderus coryli,201766,Coleoptera,Attelabidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Coleoptera; Polyphaga; Cucujiformia; Attelabidae; Apoderinae; Apoderus;,44.78,1.14
Apoderus coryli,201766,Coleoptera,Attelabidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Coleoptera; Polyphaga; Cucujiformia; Attelabidae; Apoderinae; Apoderus;,51.71,1.37
Apoderus coryli,201766,Coleoptera,Attelabidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Coleoptera; Polyphaga; Cucujiformia; Attelabidae; Apoderinae; Apoderus;,40.00,1.02
Apoderus coryli,201766,Coleoptera,Attelabidae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Coleoptera; Polyphaga; Cucujiformia; Attelabidae; Apoderinae; Apoderus;,47.98,1.22
Aporia crataegi,129397,Lepidoptera,Pieridae,Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Holometabola; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Pieridae; Pierinae; Aporia;,MALE,WHOLE_ORGANISM
